ID,weight,height,neck,chest,hip,thigh,biceps,wrist,agegp
1,154.25,67.75,36.2,93.1,94.5,59,32,17.1,young
2,173.25,72.25,38.5,93.6,98.7,58.7,30.5,18.2,young
3,154,66.25,34,95.8,99.2,59.6,28.8,16.6,young
4,184.75,72.25,37.4,101.8,101.2,60.1,32.4,18.2,young
5,184.25,71.25,34.4,97.3,101.9,63.2,32.2,17.7,young
6,210.25,74.75,39,104.5,107.8,66,35.7,18.8,young
7,181,69.75,36.4,105.1,100.3,58.4,31.9,17.7,young
8,176,72.5,37.8,99.6,97.1,60,30.5,18.8,young
9,191,74,38.1,100.9,99.9,62.9,35.9,18.2,young
10,198.25,73.5,42.1,99.6,104.1,63.1,35.6,19.2,young
11,186.25,74.5,38.5,101.5,98.2,59.7,32.8,18.5,young
12,216,76,39.4,103.6,107.7,66.2,37.2,19,young
13,183.75,67.75,38,106.8,102.4,64.2,37.2,18.5,young
14,179,68,39.1,103.3,104.9,63.5,32.5,18.4,young
15,200.5,69.75,41.3,111.4,104.8,63.4,33,19.9,young
16,151.25,67.75,34.5,90.2,95.8,58.4,31.1,17.6,young
17,159.25,71.5,35.7,89.6,96.5,55,29.9,17.7,young
18,133.25,64.75,36.4,93.5,88.5,50.1,30.5,17.2,young
19,160.75,69,36.7,97.4,98.7,58.9,30.1,17.6,young
20,160.25,71.25,37.3,93.5,100.6,58.5,30.1,17.9,young
21,168,71.25,38.1,93,94.5,57.3,29,18.8,young
22,201.25,69.5,40.5,111.5,105.8,61.8,37.7,19.2,old
23,179.75,65.75,38.4,104.8,99.6,60.6,34.5,18.5,old
24,216,73.25,41.4,112.3,103.1,61.6,36.2,20.2,old
25,178,67,37.4,105.3,99.7,60.8,33.6,18.8,old
26,167.5,71.5,35.5,97.6,98.5,56.6,31.5,18.6,old
27,143,65.75,36.5,93.4,93,55.5,29.4,16.8,old
28,148.25,67.5,36,91.6,94.8,54.5,29.3,18.3,old
29,177.75,68.5,38.7,102,98.3,55,30.8,18.8,old
30,161.25,70.25,37.8,96.4,99.3,53.5,31.4,18.3,old
31,171.25,69.25,37.4,102.7,100.2,56.5,30.3,19,old
32,163.75,67.75,38.4,97.7,97.1,54.8,29.4,19,old
33,150.25,67.25,38.1,97.1,96.9,54.8,29.9,17.7,old
34,190.25,72.75,39.3,103.1,99.6,58.9,34.3,19,old
35,170.75,70,38.7,101.8,95,56,31.2,19.2,old
36,168,69.25,38.5,101.4,96.2,56.3,29.7,18,old
37,167,67.5,36.5,98.9,96.2,54.7,32.4,18.2,old
38,157.75,67.25,37.7,97.5,96.9,57.2,32.6,18.8,old
39,160,65.75,36.5,104.3,93.8,57.8,29.2,18.1,old
40,159.75,72.25,35.5,92.1,93.9,56.1,30.5,18.2,young
41,188.15,77.5,38,96.6,102.5,59.1,31.8,18.3,young
42,156,70.75,35.7,92.7,95.3,56.4,33.5,17.3,young
43,208.5,72.75,39.2,102,110.1,71.2,36.1,18.7,young
44,206.5,69.75,40.9,110.9,106.2,68.4,33.3,18.4,young
45,143.75,72.5,35.2,92.3,92.1,51.9,25.8,16.9,young
46,223,70.25,40.6,114.1,113.9,67.6,36,18.4,young
47,152.25,69,35.4,92.9,93.5,56.9,31.6,17.8,young
48,241.75,74.5,41.8,108.3,114.4,72.9,38.5,19.6,young
49,146,72.25,34.1,88.5,91.1,53.6,27.8,17.4,young
50,156.75,67.25,37.9,94,95.2,56.8,30.6,17.9,young
51,200.25,73.5,38.2,101.1,105,62.1,33.7,19.4,young
52,171.5,75.25,35.6,92.1,98.3,57.3,32.2,17.7,young
53,205.75,69,38.5,105.6,106.4,68.6,35.2,19.1,young
54,182.5,72.25,37,98.5,102.5,60.8,31.6,18.6,young
55,157.75,67.5,40.4,97.2,94,54.3,31.3,18.3,old
56,168.75,67.5,38.3,104.7,93.7,54.4,30.3,18.3,old
57,191.5,72.25,40.6,104,101.1,59.3,32.6,19,old
58,219.15,69.5,40.2,117.6,111.8,63.4,35.1,18.5,old
59,155.25,69.5,37.9,95.8,94.5,61.2,29.8,18.3,old
60,189.75,65.75,40.8,106.4,100.5,59.2,35.9,19.1,old
61,127.5,65.75,34.7,93,87.6,50.7,28.5,16.5,old
62,224.5,68.25,38.8,119.6,114.3,61.3,34.9,19.4,old
63,234.25,72,41.4,119.7,109.1,63.7,35.6,19.5,old
64,227.75,72.75,41.3,115.8,109.8,65.6,35.3,19.5,old
65,199.5,68.5,40.7,118.3,101.6,58.2,32.1,18.5,old
66,155.5,69.25,36.3,97.4,94.4,54.3,29.2,18.5,old
67,215.5,70.5,40.8,113.7,110,63.3,37.5,18.8,old
68,134.25,67,34.9,89.2,88.8,49.6,25.6,18.5,old
69,201,69.75,40.9,108.5,104.5,59.6,35.2,20.1,old
70,186.75,66,38.9,111.1,101.7,60.3,31.3,18,old
71,190.75,70.5,38.9,108.3,97.8,56,30.5,19.8,old
72,207.5,70,40.8,112.4,107.1,59.3,33.7,20.9,old
